Country,Survey,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Congo Democratic Republic,2013-14 DHS,21.3,60.3,79.7,84.1,83.3,81.8,75.3
Ethiopia,2019 DHS,21.5,64.5,83.6,88.5,86.3,86.2,81.3
Kenya,2014 DHS,11.9,54.6,74.7,79.1,76.7,72.5,71.6
Nigeria,2018 DHS,22.8,63.8,83.5,87.7,88.6,87.7,81.8
Tanzania,2015-16 DHS,23,59.6,76.1,78.7,79.7,75.8,73.1
Uganda,2016 DHS,19.9,64,77.3,78.5,77.1,73.6,69.6
India,2019 DHS,12.6,59.9,87.3,93.6,93,90,86
Indonesia,2017 DHS,9.1,48.5,82.5,91.7,92,90.5,87.8
Bangladesh,2014 DHS,44.2,83,92,94.6,92.3,89,85.5
Myanmar,2015 DHS,12.6,44.6,67.4,73.9,75.9,74,72.3